,Time,Period Ended,Total Revenue,Cost Of Goods Sold,Gross Profit,Period Started,Quarter
0,1999 FQ1,1999-03-31,1558214.2698412698,893450.9158730159,664763,1999-01-01,Q1
1,1999 FQ2,1999-06-30,1261367.9034468709,678222.9430593727,583144,1999-04-01,Q2
2,1999 FQ3,1999-09-30,1652246.2384615557,938895.4815384713,713350,1999-07-01,Q3
3,1999 FQ4,1999-12-31,1238963.126833553,693520.2867786052,545442,1999-10-01,Q4
4,2000 FQ1,2000-03-31,1496361.3293584622,868027.666338462,628333,2000-01-01,Q1
5,2000 FQ2,2000-06-30,1164836.5950000144,639353.4195312578,525483,2000-04-01,Q2
6,2000 FQ3,2000-09-30,1518448.5590624926,858371.6362499958,660076,2000-07-01,Q3
7,2000 FQ4,2000-12-31,1209833.730530682,689594.064492934,520239,2000-10-01,Q4
8,2001 FQ1,2001-03-31,1437266.198125004,838559.0334375023,598707,2001-01-01,Q1
9,2001 FQ2,2001-06-30,1194165.0337499985,654695.7421874993,539469,2001-04-01,Q2
10,2001 FQ3,2001-09-30,1592452.4241932684,923444.4783869344,669007,2001-07-01,Q3
11,2001 FQ4,2001-12-31,1249502.5408659843,729065.9503919908,520436,2001-10-01,Q4
12,2002 FQ1,2002-03-31,1436503.0151615774,836644.6132259736,599858,2002-01-01,Q1
13,2002 FQ2,2002-06-30,1384509.4170769043,764374.1439999896,620135,2002-04-01,Q2
14,2002 FQ3,2002-09-30,1837988.9993846135,1033130.8615384605,804858,2002-07-01,Q3
15,2002 FQ4,2002-12-31,1512148.90143928,869688.7913975023,642460,2002-10-01,Q4
16,2003 FQ1,2003-03-31,1791588.8394634733,1030512.4540952274,761076,2003-01-01,Q1
17,2003 FQ2,2003-06-30,1582424.7300000135,874198.7193750074,708226,2003-04-01,Q2
18,2003 FQ3,2003-09-30,2087974.650995086,1147090.229202913,940884,2003-07-01,Q3
19,2003 FQ4,2003-12-31,1612536.37525939,841086.9668597013,771449,2003-10-01,Q4
20,2004 FQ1,2004-03-31,1881253.0570312368,997501.620937493,883751,2004-01-01,Q1
21,2004 FQ2,2004-06-30,1687996.6034390654,860263.7936156265,827732,2004-04-01,Q2
22,2004 FQ3,2004-09-30,2149243.7059754045,1110075.8162830872,1039167,2004-07-01,Q3
23,2004 FQ4,2004-12-31,1552586.189358788,813422.5036700028,739163,2004-10-01,Q4
