,Time,Period Ended,Total Revenue,Cost Of Goods Sold,Gross Profit,Period Started,Quarter
0,1994 FQ1,1993-08-31,956833.5,581967.5,374866,1993-06-01,Q1
1,1994 FQ2,1993-11-30,805789,496128,309661,1993-09-01,Q2
2,1994 FQ3,1994-02-28,871845,537066,334779,1993-12-01,Q3
3,1994 FQ4,1994-05-31,1004156,608922,395234,1994-03-01,Q4
4,1995 FQ1,1994-08-31,1170355,700447,469908,1994-06-01,Q1
5,1995 FQ2,1994-11-30,1053746,640031,413715,1994-09-01,Q2
6,1995 FQ3,1995-02-28,1124697,678404,446293,1994-12-01,Q3
7,1995 FQ4,1995-05-31,1412036,857598,554438,1995-03-01,Q4
8,1996 FQ1,1995-08-31,1700020,1013379,686641,1995-06-01,Q1
9,1996 FQ2,1995-11-30,1356758,828129,528629,1995-09-01,Q2
10,1996 FQ3,1996-02-29,1582039,953316,628723,1995-12-01,Q3
11,1996 FQ4,1996-05-31,1831808,1127422,704386,1996-03-01,Q4
12,1997 FQ1,1996-08-31,2281926,1362119,919807,1996-06-01,Q1
13,1997 FQ2,1996-11-30,2107034,1277628,829406,1996-09-01,Q2
14,1997 FQ3,1997-02-28,2423648,1435427,988221,1996-12-01,Q3
15,1997 FQ4,1997-05-31,2373892,1446326,927566,1997-03-01,Q4
16,1998 FQ1,1997-08-31,2766100,1665500,1100600,1997-06-01,Q1
17,1998 FQ2,1997-11-30,2255300,1409500,845800,1997-09-01,Q2
18,1998 FQ3,1998-02-28,2224000,1428800,795200,1997-12-01,Q3
19,1998 FQ4,1998-05-31,2307700,1572800,734900,1998-03-01,Q4
20,1999 FQ1,1998-08-31,2504800,1562600,942200,1998-06-01,Q1
21,1999 FQ2,1998-11-30,1913000,1229600,683400,1998-09-01,Q2
22,1999 FQ3,1999-02-28,2176800,1364900,811900,1998-12-01,Q3
23,1999 FQ4,1999-05-31,2182300,1334200,848100,1999-03-01,Q4
24,2000 FQ1,1999-08-31,2501100,1534700,966400,1999-06-01,Q1
25,2000 FQ2,1999-11-30,2059700,1238000,821700,1999-09-01,Q2
26,2000 FQ3,2000-02-29,2161600,1286400,875200,1999-12-01,Q3
27,2000 FQ4,2000-05-31,2272700,1360500,912200,2000-03-01,Q4
28,2001 FQ1,2000-08-31,2636700,1569200,1067500,2000-06-01,Q1
29,2001 FQ2,2000-11-30,2198700,1327300,871400,2000-09-01,Q2
30,2001 FQ3,2001-02-28,2170100,1341500,828600,2000-12-01,Q3
31,2001 FQ4,2001-05-31,2483300,1546800,936500,2001-03-01,Q4
32,2002 FQ1,2001-08-31,2613700,1584800,1028900,2001-06-01,Q1
33,2002 FQ2,2001-11-30,2336800,1441400,895400,2001-09-01,Q2
34,2002 FQ3,2002-02-28,2260300,1376800,883500,2001-12-01,Q3
35,2002 FQ4,2002-05-31,2682200,1601700,1080500,2002-03-01,Q4
36,2003 FQ1,2002-08-31,2796300,1639200,1157100,2002-06-01,Q1
37,2003 FQ2,2002-11-30,2514700,1504600,1010100,2002-09-01,Q2
38,2003 FQ3,2003-02-28,2400900,1424900,976000,2002-12-01,Q3
39,2003 FQ4,2003-05-31,2985100,1744900,1240200,2003-03-01,Q4
40,2004 FQ1,2003-08-31,3024900,1723400,1301500,2003-06-01,Q1
41,2004 FQ2,2003-11-30,2837100,1637500,1199600,2003-09-01,Q2
42,2004 FQ3,2004-02-29,2904000,1682100,1221900,2003-12-01,Q3
43,2004 FQ4,2004-05-31,3487100,1958400,1528700,2004-03-01,Q4
44,2005 FQ1,2004-08-31,3561800,1976000,1585800,2004-06-01,Q1
45,2005 FQ2,2004-11-30,3148300,1760200,1388100,2004-09-01,Q2
46,2005 FQ3,2005-02-28,3308200,1849400,1458800,2004-12-01,Q3
47,2005 FQ4,2005-05-31,3721400,2038700,1682700,2005-03-01,Q4
48,2006 FQ1,2005-08-31,3862000,2113900,1748100,2005-06-01,Q1
49,2006 FQ2,2005-11-30,3474700,1963300,1511400,2005-09-01,Q2
50,2006 FQ3,2006-02-28,3612800,2038700,1574100,2005-12-01,Q3
51,2006 FQ4,2006-05-31,4005400,2252000,1753400,2006-03-01,Q4
52,2007 FQ1,2006-08-31,4194100,2344900,1849200,2006-06-01,Q1
53,2007 FQ2,2006-11-30,3821700,2164600,1657100,2006-09-01,Q2
54,2007 FQ3,2007-02-28,3926900,2191700,1735200,2006-12-01,Q3
55,2007 FQ4,2007-05-31,4383200,2464200,1919000,2007-03-01,Q4
56,2008 FQ1,2007-08-31,4655100,2568100,2087000,2007-06-01,Q1
57,2008 FQ2,2007-11-30,4339500,2418400,1921100,2007-09-01,Q2
58,2008 FQ3,2008-02-29,4544400,2496500,2047900,2007-12-01,Q3
59,2008 FQ4,2008-05-31,5088000,2756600,2331400,2008-03-01,Q4
60,2009 FQ1,2008-08-31,5432200,2870100,2562100,2008-06-01,Q1
61,2009 FQ2,2008-11-30,4590100,2540100,2050000,2008-09-01,Q2
62,2009 FQ3,2009-02-28,4440800,2492300,1948500,2008-12-01,Q3
63,2009 FQ4,2009-05-31,4713000,2669200,2043800,2009-03-01,Q4
64,2010 FQ1,2009-08-31,4799000,2583000,2216000,2009-06-01,Q1
65,2010 FQ2,2009-11-30,4405000,2445000,1960000,2009-09-01,Q2
66,2010 FQ3,2010-02-28,4733000,2515000,2218000,2009-12-01,Q3
67,2010 FQ4,2010-05-31,5077000,2671000,2406000,2010-03-01,Q4
68,2011 FQ1,2010-08-31,5175000,2741000,2434000,2010-06-01,Q1
69,2011 FQ2,2010-11-30,4842000,2649000,2193000,2010-09-01,Q2
70,2011 FQ3,2011-02-28,5079000,2752000,2327000,2010-12-01,Q3
71,2011 FQ4,2011-05-31,5766000,3212000,2554000,2011-03-01,Q4
72,2012 FQ1,2011-08-31,5893000,3275000,2618000,2011-06-01,Q1
73,2012 FQ2,2011-11-30,5546000,3170000,2376000,2011-09-01,Q2
74,2012 FQ3,2012-02-29,5656000,3171000,2485000,2011-12-01,Q3
75,2012 FQ4,2012-05-31,6236000,3567000,2669000,2012-03-01,Q4
76,2013 FQ1,2012-08-31,6474000,3646000,2828000,2012-06-01,Q1
77,2013 FQ2,2012-11-30,5955000,3425000,2530000,2012-09-01,Q2
78,2013 FQ3,2013-02-28,6187000,3451000,2736000,2012-12-01,Q3
79,2013 FQ4,2013-05-31,6697000,3757000,2940000,2013-03-01,Q4
80,2014 FQ1,2013-08-31,6971000,3839000,3132000,2013-06-01,Q1
81,2014 FQ2,2013-11-30,6431000,3605000,2826000,2013-09-01,Q2
82,2014 FQ3,2014-02-28,6972000,3869000,3103000,2013-12-01,Q3
83,2014 FQ4,2014-05-31,7425000,4040000,3385000,2014-03-01,Q4
84,2015 FQ1,2014-08-31,7982000,4261000,3721000,2014-06-01,Q1
85,2015 FQ2,2014-11-30,7380000,4053000,3327000,2014-09-01,Q2
86,2015 FQ3,2015-02-28,7460000,4034000,3426000,2014-12-01,Q3
87,2015 FQ4,2015-05-31,7779000,4186000,3593000,2015-03-01,Q4
88,2016 FQ1,2015-08-31,8414000,4419000,3995000,2015-06-01,Q1
89,2016 FQ2,2015-11-30,7686000,4185000,3501000,2015-09-01,Q2
90,2016 FQ3,2016-02-29,8032000,4343000,3689000,2015-12-01,Q3
91,2016 FQ4,2016-05-31,8244000,4458000,3786000,2016-03-01,Q4
92,2017 FQ1,2016-08-31,9061000,4938000,4123000,2016-06-01,Q1
93,2017 FQ2,2016-11-30,8180000,4564000,3616000,2016-09-01,Q2
94,2017 FQ3,2017-02-28,8432000,4682000,3750000,2016-12-01,Q3
95,2017 FQ4,2017-05-31,8677000,4854000,3823000,2017-03-01,Q4
96,2018 FQ1,2017-08-31,9070000,5108000,3962000,2017-06-01,Q1
97,2018 FQ2,2017-11-30,8554000,4876000,3678000,2017-09-01,Q2
98,2018 FQ3,2018-02-28,8984000,5046000,3938000,2017-12-01,Q3
99,2018 FQ4,2018-05-31,9789000,5411000,4378000,2018-03-01,Q4
100,2019 FQ1,2018-08-31,9948000,5551000,4397000,2018-06-01,Q1
101,2019 FQ2,2018-11-30,9374000,5269000,4105000,2018-09-01,Q2
102,2019 FQ3,2019-02-28,9611000,5272000,4339000,2018-12-01,Q3
103,2019 FQ4,2019-05-31,10184000,5551000,4633000,2019-03-01,Q4
104,2020 FQ1,2019-08-31,10660000,5789000,4871000,2019-06-01,Q1
105,2020 FQ2,2019-11-30,10326000,5782000,4544000,2019-09-01,Q2
106,2020 FQ3,2020-02-29,10104000,5631000,4473000,2019-12-01,Q3
107,2020 FQ4,2020-05-31,6313000,3960000,2353000,2020-03-01,Q4
108,2021 FQ1,2020-08-31,10594000,5853000,4741000,2020-06-01,Q1
109,2021 FQ2,2020-11-30,11243000,6366000,4877000,2020-09-01,Q2
110,2021 FQ3,2021-02-28,10357000,5632000,4725000,2020-12-01,Q3
111,2021 FQ4,2021-05-31,12344000,6686000,5658000,2021-03-01,Q4
112,2022 FQ1,2021-08-31,12248000,6552000,5696000,2021-06-01,Q1
